r2_prominence,mse_prominence,r2_boundary,mse_boundary,r2_prominence_shuffled,mse_prominence_shuffled,r2_boundary_shuffled,mse_boundary_shuffled
0.0364087,0.5991154553617253,0.022137545,0.40654643628661485,-0.010501669,0.6294624212911811,-0.009864126,0.422595285
0.028256983,0.6041838072507367,0.033518279,0.4018148947638638,-0.012152748,0.6304909125215314,-0.009837601,0.4225841850719256
0.034085742,0.6005597608433781,0.031511843,0.40264907080650114,-0.010480998,0.6294495449341813,-0.009270846,0.42234701632448235
0.029016692903615082,0.6037114554414788,0.031086802468120123,0.4028257814322168,-0.008593457,0.6282737569230995,-0.008898017,0.42219099977039354
0.034048004,0.6005832246376316,0.031664726557502076,0.4025855094207437,-0.009788164,0.6290179642139297,-0.011094152,0.4231100107706349
0.041727125,0.5958087102179099,0.031724952601184464,0.40256047043565124,-0.010949973,0.6297416791704697,-0.009866021,0.4225960779845483
0.047544130849224264,0.5921919715883591,0.032156769128968254,0.40238094266094143,-0.01093997,0.6297354485819209,-0.007225095,0.4214909363012692
0.043320914,0.5948177681916063,0.032197701,0.40236392518835196,-0.012203926,0.6305227926158148,-0.010925041,0.42303924325042297
0.041295748,0.5960769203536457,0.030109723011689904,0.4032320023367937,-0.011506694,0.630088472,-0.009046628,0.4222531883022154
0.033531499,0.6009043626085326,0.027465308,0.404331418,-0.011182672,0.629886632,-0.009345693,0.4223783375069053
0.02769998,0.6045301248914893,0.026345598,0.4047969378597842,-0.010527836,0.6294787217430152,-0.0076356,0.421662719
0.013262969,0.6135063754271659,0.016453054,0.40890976411963265,-0.011860261,0.6303087165048484,-0.009250752,0.4223386076377189
0.013719107138169928,0.6132227701053888,0.021016029,0.40701270665187106,-0.012531223,0.6307266725420404,-0.009252177,0.42233920406617315
