r2_prominence,mse_prominence,r2_boundary,mse_boundary,r2_prominence_shuffled,mse_prominence_shuffled,r2_boundary_shuffled,mse_boundary_shuffled
0.039033254,0.5986640225628936,0.031930058893234525,0.4040512872426235,-0.013893182,0.6394316217925234,-0.016346405,0.4284028419735049
0.040798479,0.5975643209340171,0.049471823,0.396729737,-0.015412505,0.6403898126091216,-0.013097102,0.4270332194670564
0.037416695,0.5996711081761037,0.042559409839477036,0.39961482790222425,-0.012058394,0.6382744767024943,-0.013683654,0.42728045850591556
0.033804254,0.6019215898706636,0.043360692397507394,0.39928039,-0.012935197,0.6388274498686461,-0.012112981,0.42661840033845677
0.032294553342359755,0.602862105,0.041813357,0.3999262139715915,-0.014432738,0.6397719032677014,-0.012923754,0.4269601513363968
0.034339566019458645,0.6015881008486585,0.041160565,0.4001986752827525,-0.01543108,0.6404015275714011,-0.012943731,0.42696857193764864
0.036447291,0.6002750280456594,0.042734702,0.39954166494947085,-0.013721608,0.6393234154314623,-0.012428469,0.4267513824833558
0.034625337,0.6014100707585581,0.040692247,0.4003941410940894,-0.015194369,0.6402522411985774,-0.012970525,0.42697986584346237
0.035017212,0.6011659404912869,0.041156502,0.4002003708772589,-0.015396224,0.6403795449239449,-0.012904773,0.4269521503900368
0.036998669,0.5999315299753016,0.038896391416152754,0.40114369192980215,-0.016132952,0.6408441770085805,-0.013256879,0.42710056764098003
0.040884153,0.5975109473365787,0.040280164,0.4005661356133297,-0.013467023,0.6391628561139323,-0.012861729,0.42693400673465365
0.046083469,0.5942718726212033,0.038213555,0.40142869290879307,-0.014215816,0.6396350975887715,-0.013942271,0.4273894689970657
0.051828852,0.590692608,0.039491768336216815,0.40089519458396844,-0.016123569,0.6408382592772902,-0.012542306,0.42679936597790563
0.054130128241327125,0.5892589566455514,0.042154268,0.39978392523028267,-0.016493023,0.6410712622910086,-0.011349909,0.4262967558338739
0.052363395,0.590359598,0.045601327,0.39834519811267216,-0.01647582,0.641060413,-0.01168263,0.42643700195769546
0.049195034,0.5923334265570231,0.045793785581624946,0.39826486998436234,-0.016401086,0.6410132805147764,-0.012965033,0.42697755104047824
0.045432614,0.594677343,0.041926011,0.399879195,-0.014817849,0.6400147810314756,-0.013285374,0.4271125787861607
0.043541539535479235,0.5958554462044754,0.040268184753362246,0.4005711352991349,-0.013383093,0.6391099244889085,-0.015018278,0.42784301939919483
0.041381546,0.5972010813850708,0.040312835128540225,0.4005524992060176,-0.015349958,0.6403503660605699,-0.015116035,0.42788422550471517
0.041741287,0.596976969,0.038792569726397885,0.40118702483955165,-0.016411786,0.6410200290214503,-0.014645625,0.4276859415197388
0.040034835,0.5980400565499393,0.03582974,0.4024236451673458,-0.01533806,0.6403428623576789,-0.012939407,0.4269667489853206
0.040785826,0.5975722034174039,0.034471063,0.4029907273815879,-0.01591856,0.6407089664253216,-0.012805977,0.42691050681726217
0.039942543883156656,0.5980975521076017,0.033680069,0.4033208712892007,-0.015232065,0.6402760148568596,-0.015078462,0.42786838784298986
0.040600234,0.5976878238469744,0.032571078528642494,0.40378373962252256,-0.016826398,0.6412815122297684,-0.014524106,0.42763471973966344
0.036329596,0.6003483498707204,0.029881311209585038,0.4049063898583163,-0.016295425,0.6409466433630131,-0.013909584,0.42737569096187117
